SID,NAME,YEAR,START_DATE,END_DATE,DURATION_DAYS
2024293N13141,TRAMI,2024,2024-10-21,2024-10-30,7
2024298N13150,KONG-REY,2024,2024-10-29,2024-11-01,2
2024307N06143,YINXING,2024,2024-11-04,2024-11-14,8
2024312N14145,TORAJI,2024,2024-11-09,2024-11-16,6
2024314N07151,USAGI,2024,2024-11-12,2024-11-17,3
2024313N10169,MAN-YI,2024,2024-11-15,2024-11-21,4
2024357N10115,PABUK,2024,2024-12-20,2024-12-27,5
2025162N15114,WUTIP,2025,2025-06-09,2025-06-16,5
2025175N16117,UNNAMED,2025,2025-06-23,2025-06-28,4
2025184N20122,DANAS,2025,2025-07-02,2025-07-12,9
2025197N14131,WIPHA,2025,2025-07-16,2025-07-23,6
2025203N20124,CO-MAY,2025,2025-07-21,2025-07-26,4
2025218N19149,PODUL,2025,2025-08-11,2025-08-15,2
2025229N17111,UNNAMED,2025,2025-08-15,2025-08-20,3
2025233N15126,KAJIKI,2025,2025-08-20,2025-08-27,6
2025240N15117,NONGFA,2025,2025-08-26,2025-09-01,4
2025248N18120,TAPAH,2025,2025-09-04,2025-09-10,5
2025259N13126,MITAG,2025,2025-09-15,2025-09-21,5
2025260N13138,RAGASA,2025,2025-09-20,2025-09-26,4
2025266N11137,BUALOI,2025,2025-09-24,2025-09-30,4
2025274N14133,MATMO,2025,2025-10-01,2025-10-07,5
2025289N13140,FENGSHEN,2025,2025-10-17,2025-10-24,6
2025305N08140,KALMAEGI,2025,2025-11-02,2025-11-08,5
2025308N09144,FUNG-WONG,2025,2025-11-08,2025-11-14,5
2025328N07132,KOTO,2025,2025-11-23,2025-12-04,9
2025330N05099,SENYAR,2025,2025-11-25,2025-12-01,4
2026014N08133,NOKAEN,2026,2026-01-16,2026-01-18,1
2026034N10137,PENHA,2026,2026-02-05,2026-02-08,2
