SID,NAME,YEAR,START_DATE,END_DATE,DURATION_DAYS
2004319N10134,MUIFA,2004,2004-11-15,2004-11-26,10
2004327N16125,MERBOK,2004,2004-11-20,2004-11-24,2
2004333N06154,NANMADOL,2004,2004-12-01,2004-12-05,3
2005071N06152,ROKE,2005,2005-03-15,2005-03-20,3
2005192N22155,HAITANG,2005,2005-07-16,2005-07-20,2
2005210N19115,WASHI,2005,2005-07-27,2005-08-01,4
2005211N09141,MATSA,2005,2005-08-03,2005-08-05,1
2005222N14131,SANVU,2005,2005-08-10,2005-08-14,3
2005237N14148,TALIM,2005,2005-08-30,2005-09-02,2
2005248N08142,KHANUN,2005,2005-09-09,2005-09-11,1
2005255N14113,UNNAMED,2005,2005-09-11,2005-09-14,1
2005257N15120,VICENTE,2005,2005-09-13,2005-09-19,5
2005262N13127,DAMREY,2005,2005-09-18,2005-09-29,9
2005268N19146,LONGWANG,2005,2005-09-30,2005-10-03,2
2005279N17111,UNNAMED,2005,2005-10-05,2005-10-09,3
2005301N13117,KAI-TAK,2005,2005-10-26,2005-11-03,6
2005311N08140,TEMBIN,2005,2005-11-09,2005-11-13,3
2005316N05134,BOLAVEN,2005,2005-11-18,2005-11-21,2
2005350N08127,UNNAMED,2005,2005-12-15,2005-12-22,6
2006128N09138,CHANCHU,2006,2006-05-10,2006-05-19,7
2006174N08135,JELAWAT,2006,2006-06-23,2006-06-30,5
2006184N16110,UNNAMED,2006,2006-07-01,2006-07-05,2
2006188N10143,BILIS,2006,2006-07-11,2006-07-18,6
2006198N08152,KAEMI,2006,2006-07-22,2006-07-30,6
2006209N13130,PRAPIROON,2006,2006-07-29,2006-08-06,6
2006217N20134,BOPHA,2006,2006-08-07,2006-08-12,3
2006234N18109,UNNAMED,2006,2006-08-21,2006-08-26,4
2006253N20120,UNNAMED,2006,2006-09-09,2006-09-14,4
2006252N13139,SHANSHAN,2006,2006-09-13,2006-09-17,2
2006264N13115,UNNAMED,2006,2006-09-20,2006-09-26,5
2006268N12129,XANGSANE,2006,2006-09-26,2006-10-03,6
2006298N12143,CIMARON,2006,2006-10-28,2006-11-08,10
2006311N16143,CHEBI,2006,2006-11-09,2006-11-16,5
2006329N06150,DURIAN,2006,2006-11-28,2006-12-07,7
2006340N08142,UTOR,2006,2006-12-08,2006-12-16,6
2006349N08157,TRAMI,2006,2006-12-19,2006-12-21,1
2007184N16112,TORAJI,2007,2007-07-02,2007-07-07,4
2007213N12115,UNNAMED,2007,2007-07-30,2007-08-08,8
2007216N18138,PABUK,2007,2007-08-06,2007-08-12,5
2007219N15130,WUTIP,2007,2007-08-07,2007-08-10,2
