timestamp,station_name,latitude,longitude,TMP,RH,UGRD,VGRD,CAPE,PWAT,PRES,WAVE_H,WAVE_DIR,WAVE_P,CURRENT_VEL,CURRENT_DIR,SST,storm_severity,APCP
2014-03-15 00:00:00,Bach Long Vi,20.13,107.73,291.65,83,-6.7843847692514085,-4.239354113865639,0.0,33.67499999999997,101940.0,1.1236167883262778,52.96781761897655,3.3831751163716604,0.21529264783293636,107.65168241357814,273.15,0,0.0
2014-03-15 03:00:00,Bach Long Vi,20.13,107.73,292.04999999999995,84,-6.966535229339825,-5.061484116962963,0.0,34.67499999999993,102040.0,1.4007862742510993,45.12821907241481,4.19577483812316,0.21229189254764494,97.33684089190596,273.15,0,0.0
2014-03-15 06:00:00,Bach Long Vi,20.13,107.73,292.75,83,-5.302052413925082,-3.995383070370543,0.0,35.325,101820.0,0.5820800797975504,39.125484211931095,3.012920217073388,0.18258410009346476,102.44615254627237,273.15,0,0.0
2014-03-15 09:00:00,Bach Long Vi,20.13,107.73,292.15,85,-3.2678342100901627,-5.032023407672544,0.0,35.224999999999966,101600.0,0.666607226839542,26.641990221235076,2.5502199761305198,0.1576403384483168,80.55071378240534,273.15,0,0.0
2014-03-15 12:00:00,Bach Long Vi,20.13,107.73,292.35,84,-3.665820144974896,-5.434801864527496,0.0,35.12499999999995,101700.0,0.845797575620515,34.4894562381851,2.6509339981611246,0.186964097962531,69.41442076171407,273.15,0,0.0
2014-03-15 15:00:00,Bach Long Vi,20.13,107.73,292.85,86,-4.01742256054087,-4.787777769493613,0.0,36.67499999999995,101860.0,0.6412414677583701,39.265660833558705,2.3964661293131897,0.16740549178335393,83.32076462384443,273.15,0,0.0
2014-03-15 18:00:00,Bach Long Vi,20.13,107.73,293.25,89,-4.46484616951873,-5.136217976516087,0.0,38.475,101760.0,1.0046319585224621,33.47137765887926,2.9977501597902187,0.17048416636685462,82.88922714506305,273.15,0,0.0
2014-03-15 21:00:00,Bach Long Vi,20.13,107.73,293.54999999999995,94,-4.555965479100745,-5.241038751547028,0.0,40.92499999999993,101670.0,0.8815362862685637,38.54568213570461,3.3879387829281775,0.2154568371390631,86.29707922955667,273.15,0,0.0
2014-03-16 00:00:00,Bach Long Vi,20.13,107.73,293.04999999999995,93,-5.357815403422475,-6.163461571819305,0.0,39.774999999999935,101860.0,1.1120425062980999,38.990861416900614,3.4996769033103363,0.24460448785875707,80.65446279053398,273.15,0,0.0
2014-03-16 03:00:00,Bach Long Vi,20.13,107.73,293.25,93,-5.825081203832831,-4.078765769607439,0.0,40.075,101990.0,1.1096315609459282,49.164440327405416,3.4090859207935433,0.19510293019132613,97.90796014339233,273.15,0,0.0
2014-03-16 06:00:00,Bach Long Vi,20.13,107.73,293.25,93,-3.345862545381102,-4.778386925019118,0.0,40.075,101760.0,0.6958597413994065,37.29137371336599,2.2904792396454687,0.1992626322401007,85.178344894351,273.15,0,0.0
2014-03-16 09:00:00,Bach Long Vi,20.13,107.73,293.04999999999995,92,-3.386223693239523,-5.020283078249975,0.0,39.37499999999993,101570.0,0.6743949358137304,42.08522813008092,2.0371631690278402,0.1645292431099061,90.35837457790544,273.15,0,0.0
2014-03-16 12:00:00,Bach Long Vi,20.13,107.73,292.75,91,-3.011276290842991,-4.300548232517206,0.0,38.525000000000006,101640.0,0.37049429587598204,44.32138142835729,2.837271319022732,0.18488386269999849,89.05946739512878,273.15,0,0.0
2014-03-16 15:00:00,Bach Long Vi,20.13,107.73,292.85,92,-2.92825466634979,-3.489758018653122,0.0,39.074999999999946,101800.0,0.21420423131584335,43.857730123795605,2.0,0.09226406264769177,84.33628427467693,273.15,0,0.0
2014-03-16 18:00:00,Bach Long Vi,20.13,107.73,292.85,93,-2.509239773845718,-2.7867930955402285,0.0,39.47499999999995,101690.0,0.26596484783812,42.72950843219466,2.0,0.0756049512912715,86.33429418640223,273.15,0,0.0
2014-03-16 21:00:00,Bach Long Vi,20.13,107.73,292.85,93,-2.574430932372651,-3.4163852374245303,0.0,39.47499999999995,101540.0,0.3500596380350282,36.678073117855824,2.110705703900307,0.1185001718195094,83.36854906113292,273.15,0,0.0
2014-03-17 00:00:00,Bach Long Vi,20.13,107.73,292.95,93,-3.319525920182238,-2.785412975308337,0.0,39.62499999999999,101680.0,0.27464283853384913,44.403405965332595,2.0,0.12086414695063004,90.19939713762989,273.15,0,0.0
2014-03-17 03:00:00,Bach Long Vi,20.13,107.73,293.45,94,-3.279823901772734,-1.818036075923764,0.0,40.774999999999984,101810.0,0.26596484783812,61.72950843219466,2.0,0.0756049512912715,105.33429418640223,273.15,0,0.0
2014-03-17 06:00:00,Bach Long Vi,20.13,107.73,293.85,95,-1.980014498196373,-1.008867777198993,0.0,41.77499999999995,101570.0,0.29664665231711995,65.29329102444393,2.0,0.08224751550361559,104.18082345109627,273.15,0,0.0
2014-03-17 09:00:00,Bach Long Vi,20.13,107.73,294.15,95,-1.2152388819326962,0.3948550483679882,0.0,42.224999999999966,101340.0,0.1,110.81295971668673,2.0,0.05,148.7728192764445,273.15,0,0.0
2014-03-17 12:00:00,Bach Long Vi,20.13,107.73,294.35,95,-0.1964185503295965,-0.1964185503295965,0.0,42.52499999999995,101360.0,0.13049005550247705,48.09537830934724,2.0,0.05,91.11702823877698,273.15,0,0.0
2014-03-17 15:00:00,Bach Long Vi,20.13,107.73,294.35,94,-1.0000285174857977,-0.6008777540617299,0.0,42.12499999999995,101540.0,0.1,58.859278024229475,2.0,0.05,104.37354291007034,273.15,0,0.0
2014-03-17 18:00:00,Bach Long Vi,20.13,107.73,293.85,96,-1.797829398008758,-0.9965531082841376,0.0,42.17499999999996,101400.0,0.1,60.40237503684782,2.0,0.07179368513077514,110.04085192422859,273.15,0,0.0
2014-03-17 21:00:00,Bach Long Vi,20.13,107.73,293.75,96,-1.4884550054393555,-1.2938941960646115,0.0,42.025000000000006,101320.0,0.11282918973845203,44.47683244647026,2.0,0.07433104617369166,98.51727439132237,273.15,0,0.0
2014-03-18 00:00:00,Bach Long Vi,20.13,107.73,293.65,95,-3.407571664964213,-0.913056075778337,0.0,41.474999999999966,101460.0,0.2586273486181869,73.36385170518234,2.0,0.0943797766945587,118.89946872136666,273.15,0,0.0
2014-03-18 03:00:00,Bach Long Vi,20.13,107.73,294.25,93,-2.9875924202707598,1.2070656898957166,0.0,41.575,101550.0,0.1,108.11343346666632,2.0,0.07977645649609841,157.23956854229687,273.15,0,0.0
2014-03-18 06:00:00,Bach Long Vi,20.13,107.73,295.04999999999995,91,-1.8958700513500983,2.105577005519283,0.0,41.97499999999994,101280.0,0.1,132.6680769921741,2.0,0.088486411248692,185.50113678438308,273.15,0,0.0
